Trump,Biden,West,HOF
0.0,4.0,0.0,Non-Hateful
0.0,4.0,0.0,Non-Hateful
1.0,2.0,0.0,Non-Hateful
4.0,2.0,0.0,Non-Hateful
2.0,0.0,0.0,Non-Hateful
1.0,0.0,0.0,Non-Hateful
4.0,0.0,0.0,Non-Hateful
2.0,4.0,0.0,Non-Hateful
1.0,4.0,0.0,Non-Hateful
0.0,1.0,0.0,Non-Hateful
1.0,4.0,0.0,Hateful
2.0,2.0,0.0,Non-Hateful
1.0,0.0,0.0,Non-Hateful
0.0,1.0,0.0,Non-Hateful
0.0,4.0,0.0,Non-Hateful
0.0,1.0,0.0,Non-Hateful
4.0,0.0,0.0,Non-Hateful
0.0,4.0,0.0,Non-Hateful
1.0,1.0,0.0,Hateful
0.0,1.0,0.0,Non-Hateful
1.0,4.0,0.0,Hateful
0.0,2.0,0.0,Non-Hateful
2.0,0.0,0.0,Non-Hateful
4.0,1.0,0.0,Non-Hateful
1.0,4.0,0.0,Non-Hateful
4.0,0.0,0.0,Non-Hateful
4.0,2.0,0.0,Non-Hateful
1.0,4.0,0.0,Hateful
1.0,4.0,0.0,Non-Hateful
1.0,4.0,0.0,Non-Hateful
4.0,0.0,0.0,Non-Hateful
1.0,4.0,0.0,Non-Hateful
4.0,1.0,0.0,Non-Hateful
0.0,1.0,0.0,Non-Hateful
4.0,0.0,0.0,Non-Hateful
4.0,1.0,0.0,Non-Hateful
1.0,4.0,0.0,Non-Hateful
0.0,2.0,0.0,Non-Hateful
2.0,0.0,0.0,Non-Hateful
4.0,0.0,0.0,Non-Hateful
4.0,0.0,0.0,Hateful
1.0,4.0,0.0,Hateful
4.0,0.0,0.0,Non-Hateful
0.0,4.0,0.0,Non-Hateful
4.0,1.0,0.0,Non-Hateful
0.0,1.0,0.0,Non-Hateful
1.0,4.0,0.0,Non-Hateful
1.0,4.0,0.0,Non-Hateful
4.0,0.0,0.0,Non-Hateful
1.0,0.0,0.0,Hateful
0.0,0.0,0.0,Non-Hateful
1.0,4.0,0.0,Non-Hateful
0.0,1.0,0.0,Hateful
1.0,4.0,0.0,Hateful
2.0,1.0,0.0,Non-Hateful
0.0,4.0,0.0,Non-Hateful
0.0,2.0,0.0,Non-Hateful
0.0,4.0,0.0,Hateful
0.0,4.0,0.0,Non-Hateful
0.0,2.0,0.0,Non-Hateful
4.0,1.0,0.0,Non-Hateful
1.0,4.0,0.0,Non-Hateful
0.0,1.0,0.0,Non-Hateful
4.0,0.0,0.0,Hateful
1.0,4.0,0.0,Non-Hateful
0.0,4.0,0.0,Non-Hateful
0.0,4.0,0.0,Non-Hateful
1.0,4.0,0.0,Non-Hateful
0.0,4.0,0.0,Non-Hateful
1.0,4.0,0.0,Non-Hateful
0.0,4.0,0.0,Non-Hateful
0.0,4.0,0.0,Hateful
0.0,1.0,0.0,Non-Hateful
4.0,0.0,0.0,Non-Hateful
0.0,2.0,0.0,Non-Hateful
4.0,0.0,0.0,Non-Hateful
1.0,4.0,0.0,Non-Hateful
0.0,2.0,0.0,Non-Hateful
2.0,1.0,0.0,Non-Hateful
1.0,4.0,0.0,Non-Hateful
1.0,4.0,0.0,Non-Hateful
2.0,2.0,0.0,Non-Hateful
1.0,2.0,0.0,Non-Hateful
2.0,0.0,0.0,Non-Hateful
0.0,4.0,0.0,Non-Hateful
0.0,1.0,0.0,Non-Hateful
0.0,1.0,0.0,Non-Hateful
4.0,0.0,0.0,Non-Hateful
2.0,0.0,0.0,Non-Hateful
0.0,4.0,0.0,Non-Hateful
4.0,0.0,0.0,Non-Hateful
4.0,0.0,0.0,Non-Hateful
0.0,2.0,0.0,Non-Hateful
4.0,1.0,0.0,Non-Hateful
1.0,4.0,0.0,Non-Hateful
0.0,1.0,0.0,Non-Hateful
4.0,2.0,0.0,Non-Hateful
2.0,0.0,0.0,Non-Hateful
0.0,4.0,0.0,Non-Hateful
0.0,1.0,0.0,Non-Hateful
1.0,0.0,0.0,Non-Hateful
0.0,4.0,0.0,Non-Hateful
0.0,4.0,0.0,Non-Hateful
0.0,4.0,0.0,Non-Hateful
0.0,4.0,0.0,Non-Hateful
1.0,0.0,0.0,Hateful
4.0,1.0,0.0,Non-Hateful
4.0,0.0,0.0,Non-Hateful
4.0,0.0,0.0,Non-Hateful
4.0,0.0,0.0,Non-Hateful
2.0,1.0,0.0,Non-Hateful
0.0,4.0,0.0,Non-Hateful
0.0,3.0,0.0,Hateful
0.0,3.0,0.0,Non-Hateful
0.0,4.0,0.0,Non-Hateful
0.0,4.0,0.0,Non-Hateful
0.0,4.0,0.0,Non-Hateful
2.0,0.0,0.0,Non-Hateful
1.0,4.0,0.0,Non-Hateful
0.0,4.0,0.0,Non-Hateful
4.0,1.0,0.0,Non-Hateful
2.0,1.0,0.0,Non-Hateful
2.0,0.0,0.0,Non-Hateful
0.0,4.0,0.0,Non-Hateful
1.0,0.0,0.0,Non-Hateful
0.0,4.0,0.0,Non-Hateful
0.0,4.0,0.0,Non-Hateful
4.0,0.0,0.0,Non-Hateful
0.0,4.0,0.0,Non-Hateful
4.0,0.0,0.0,Non-Hateful
4.0,0.0,0.0,Non-Hateful
4.0,1.0,0.0,Non-Hateful
0.0,4.0,0.0,Hateful
0.0,4.0,0.0,Non-Hateful
4.0,0.0,0.0,Non-Hateful
4.0,0.0,0.0,Hateful
0.0,4.0,0.0,Non-Hateful
1.0,0.0,0.0,Hateful
4.0,1.0,0.0,Hateful
0.0,4.0,0.0,Non-Hateful
0.0,2.0,0.0,Non-Hateful
1.0,4.0,0.0,Non-Hateful
0.0,4.0,0.0,Non-Hateful
0.0,4.0,0.0,Non-Hateful
2.0,2.0,0.0,Non-Hateful
1.0,4.0,0.0,Non-Hateful
4.0,0.0,0.0,Non-Hateful
0.0,1.0,0.0,Non-Hateful
0.0,1.0,0.0,Hateful
1.0,4.0,0.0,Non-Hateful
4.0,1.0,0.0,Non-Hateful
0.0,4.0,0.0,Non-Hateful
1.0,4.0,0.0,Non-Hateful
1.0,2.0,0.0,Non-Hateful
1.0,0.0,0.0,Non-Hateful
4.0,0.0,0.0,Non-Hateful
4.0,1.0,0.0,Non-Hateful
4.0,0.0,0.0,Non-Hateful
1.0,4.0,0.0,Non-Hateful
2.0,0.0,0.0,Non-Hateful
1.0,0.0,0.0,Non-Hateful
1.0,4.0,0.0,Non-Hateful
2.0,2.0,0.0,Non-Hateful
0.0,3.0,0.0,Non-Hateful
4.0,1.0,0.0,Hateful
4.0,0.0,0.0,Non-Hateful
0.0,4.0,0.0,Non-Hateful
0.0,0.0,0.0,Non-Hateful
2.0,4.0,0.0,Non-Hateful
0.0,4.0,0.0,Hateful
0.0,1.0,0.0,Non-Hateful
4.0,1.0,0.0,Non-Hateful
1.0,0.0,0.0,Hateful
4.0,0.0,0.0,Non-Hateful
0.0,3.0,0.0,Non-Hateful
0.0,4.0,0.0,Non-Hateful
1.0,0.0,0.0,Hateful
1.0,4.0,0.0,Hateful
0.0,4.0,0.0,Non-Hateful
0.0,4.0,0.0,Non-Hateful
1.0,0.0,0.0,Non-Hateful
2.0,4.0,0.0,Non-Hateful
0.0,2.0,0.0,Non-Hateful
0.0,4.0,0.0,Non-Hateful
2.0,0.0,0.0,Non-Hateful
1.0,0.0,0.0,Non-Hateful
1.0,4.0,0.0,Non-Hateful
0.0,4.0,0.0,Hateful
1.0,2.0,0.0,Non-Hateful
2.0,0.0,0.0,Hateful
0.0,3.0,0.0,Non-Hateful
1.0,4.0,0.0,Non-Hateful
4.0,0.0,0.0,Non-Hateful
0.0,2.0,0.0,Non-Hateful
1.0,4.0,0.0,Non-Hateful
0.0,4.0,0.0,Hateful
0.0,4.0,0.0,Non-Hateful
0.0,0.0,0.0,Non-Hateful
2.0,4.0,0.0,Non-Hateful
1.0,4.0,0.0,Non-Hateful
2.0,1.0,0.0,Hateful
2.0,4.0,0.0,Non-Hateful
4.0,1.0,0.0,Hateful
1.0,4.0,0.0,Non-Hateful
4.0,0.0,0.0,Non-Hateful
0.0,4.0,0.0,Non-Hateful
1.0,0.0,0.0,Non-Hateful
2.0,4.0,0.0,Non-Hateful
0.0,4.0,0.0,Non-Hateful
4.0,0.0,0.0,Non-Hateful
4.0,0.0,0.0,Non-Hateful
2.0,1.0,0.0,Hateful
1.0,4.0,0.0,Non-Hateful
1.0,0.0,0.0,Hateful
2.0,2.0,0.0,Non-Hateful
0.0,4.0,0.0,Non-Hateful
1.0,2.0,0.0,Non-Hateful
0.0,4.0,0.0,Non-Hateful
1.0,0.0,0.0,Non-Hateful
0.0,4.0,0.0,Non-Hateful
0.0,2.0,0.0,Non-Hateful
4.0,1.0,0.0,Non-Hateful
1.0,4.0,0.0,Hateful
1.0,4.0,0.0,Non-Hateful
0.0,4.0,0.0,Non-Hateful
1.0,4.0,0.0,Non-Hateful
4.0,0.0,0.0,Non-Hateful
1.0,0.0,0.0,Non-Hateful
1.0,0.0,0.0,Non-Hateful
4.0,2.0,0.0,Non-Hateful
0.0,0.0,0.0,Non-Hateful
4.0,0.0,0.0,Non-Hateful
0.0,3.0,0.0,Non-Hateful
2.0,0.0,0.0,Non-Hateful
1.0,4.0,0.0,Hateful
0.0,1.0,0.0,Hateful
2.0,2.0,0.0,Non-Hateful
1.0,0.0,0.0,Non-Hateful
2.0,2.0,0.0,Non-Hateful
2.0,4.0,0.0,Non-Hateful
4.0,1.0,0.0,Non-Hateful
4.0,0.0,0.0,Non-Hateful
2.0,0.0,0.0,Non-Hateful
2.0,1.0,0.0,Non-Hateful
4.0,0.0,0.0,Non-Hateful
2.0,0.0,0.0,Non-Hateful
2.0,0.0,0.0,Non-Hateful
4.0,0.0,0.0,Non-Hateful
4.0,2.0,0.0,Non-Hateful
1.0,4.0,0.0,Non-Hateful
0.0,2.0,0.0,Non-Hateful
4.0,0.0,0.0,Non-Hateful
0.0,2.0,0.0,Non-Hateful
0.0,4.0,0.0,Non-Hateful
0.0,4.0,0.0,Non-Hateful
1.0,0.0,0.0,Non-Hateful
1.0,4.0,0.0,Non-Hateful
2.0,0.0,0.0,Non-Hateful
4.0,1.0,0.0,Non-Hateful
1.0,4.0,0.0,Hateful
1.0,0.0,0.0,Non-Hateful
4.0,0.0,0.0,Non-Hateful
0.0,0.0,0.0,Non-Hateful
0.0,1.0,0.0,Hateful
0.0,4.0,0.0,Non-Hateful
1.0,4.0,0.0,Hateful
0.0,4.0,0.0,Non-Hateful
4.0,0.0,0.0,Non-Hateful
0.0,4.0,0.0,Non-Hateful
4.0,0.0,0.0,Non-Hateful
1.0,4.0,0.0,Non-Hateful
4.0,1.0,0.0,Non-Hateful
2.0,0.0,0.0,Non-Hateful
1.0,4.0,0.0,Non-Hateful
4.0,1.0,0.0,Non-Hateful
1.0,4.0,0.0,Hateful
4.0,1.0,0.0,Non-Hateful
1.0,4.0,0.0,Non-Hateful
1.0,4.0,0.0,Non-Hateful
1.0,0.0,0.0,Non-Hateful
0.0,2.0,0.0,Non-Hateful
1.0,4.0,0.0,Non-Hateful
0.0,4.0,0.0,Non-Hateful
4.0,1.0,0.0,Non-Hateful
2.0,0.0,0.0,Non-Hateful
1.0,4.0,0.0,Non-Hateful
0.0,4.0,0.0,Non-Hateful
0.0,4.0,0.0,Non-Hateful
4.0,1.0,0.0,Hateful
2.0,0.0,0.0,Non-Hateful
4.0,0.0,0.0,Non-Hateful
1.0,2.0,0.0,Non-Hateful
0.0,4.0,0.0,Non-Hateful
4.0,0.0,0.0,Non-Hateful
0.0,4.0,0.0,Non-Hateful
1.0,0.0,0.0,Non-Hateful
1.0,4.0,0.0,Non-Hateful
1.0,4.0,0.0,Non-Hateful
1.0,0.0,0.0,Non-Hateful
4.0,0.0,0.0,Non-Hateful
1.0,4.0,0.0,Non-Hateful
0.0,4.0,0.0,Hateful
2.0,0.0,0.0,Non-Hateful
1.0,0.0,0.0,Non-Hateful
4.0,0.0,0.0,Non-Hateful
0.0,1.0,0.0,Hateful
2.0,4.0,0.0,Non-Hateful
1.0,4.0,0.0,Non-Hateful
0.0,4.0,0.0,Non-Hateful
0.0,4.0,0.0,Non-Hateful
1.0,4.0,0.0,Non-Hateful
0.0,4.0,0.0,Non-Hateful
1.0,4.0,0.0,Non-Hateful
4.0,0.0,0.0,Non-Hateful
4.0,0.0,0.0,Non-Hateful
0.0,0.0,0.0,Non-Hateful
0.0,4.0,0.0,Non-Hateful
0.0,4.0,0.0,Non-Hateful
1.0,4.0,0.0,Non-Hateful
2.0,1.0,0.0,Hateful
2.0,0.0,0.0,Non-Hateful
4.0,0.0,0.0,Non-Hateful
4.0,0.0,0.0,Non-Hateful
0.0,4.0,0.0,Non-Hateful
1.0,4.0,0.0,Hateful
0.0,4.0,0.0,Non-Hateful
0.0,0.0,0.0,Non-Hateful
0.0,4.0,0.0,Non-Hateful
1.0,4.0,0.0,Hateful
4.0,1.0,0.0,Hateful
1.0,4.0,0.0,Non-Hateful
1.0,2.0,0.0,Hateful
1.0,4.0,0.0,Non-Hateful
1.0,0.0,0.0,Hateful
2.0,1.0,0.0,Non-Hateful
0.0,4.0,0.0,Non-Hateful
1.0,0.0,0.0,Non-Hateful
4.0,0.0,0.0,Non-Hateful
1.0,0.0,0.0,Non-Hateful
0.0,4.0,0.0,Non-Hateful
2.0,0.0,0.0,Non-Hateful
0.0,2.0,0.0,Non-Hateful
0.0,1.0,0.0,Non-Hateful
4.0,1.0,0.0,Hateful
0.0,4.0,0.0,Non-Hateful
0.0,1.0,0.0,Non-Hateful
2.0,2.0,0.0,Non-Hateful
0.0,4.0,0.0,Non-Hateful
4.0,0.0,0.0,Non-Hateful
1.0,4.0,0.0,Hateful
1.0,4.0,0.0,Hateful
4.0,0.0,0.0,Non-Hateful
0.0,4.0,0.0,Non-Hateful
0.0,4.0,0.0,Non-Hateful
4.0,0.0,0.0,Non-Hateful
4.0,1.0,0.0,Non-Hateful
4.0,0.0,0.0,Non-Hateful
0.0,2.0,0.0,Non-Hateful
1.0,4.0,0.0,Non-Hateful
0.0,2.0,0.0,Non-Hateful
1.0,4.0,0.0,Non-Hateful
4.0,1.0,0.0,Hateful
4.0,0.0,0.0,Non-Hateful
1.0,0.0,0.0,Non-Hateful
1.0,4.0,0.0,Non-Hateful
4.0,0.0,0.0,Non-Hateful
1.0,4.0,0.0,Non-Hateful
0.0,1.0,0.0,Hateful
2.0,0.0,0.0,Non-Hateful
1.0,4.0,0.0,Non-Hateful
1.0,0.0,0.0,Hateful
0.0,4.0,0.0,Non-Hateful
1.0,4.0,0.0,Non-Hateful
4.0,0.0,0.0,Hateful
2.0,0.0,0.0,Non-Hateful
0.0,0.0,0.0,Non-Hateful
0.0,4.0,0.0,Non-Hateful
1.0,4.0,0.0,Non-Hateful
0.0,4.0,0.0,Non-Hateful
1.0,4.0,0.0,Non-Hateful
0.0,4.0,0.0,Non-Hateful
4.0,0.0,0.0,Non-Hateful
4.0,0.0,0.0,Non-Hateful
4.0,0.0,0.0,Non-Hateful
1.0,4.0,0.0,Non-Hateful
0.0,2.0,0.0,Non-Hateful
2.0,0.0,0.0,Non-Hateful
1.0,0.0,0.0,Non-Hateful
0.0,4.0,0.0,Non-Hateful
4.0,1.0,0.0,Non-Hateful
0.0,1.0,0.0,Non-Hateful
0.0,2.0,0.0,Non-Hateful
2.0,0.0,0.0,Non-Hateful
2.0,0.0,0.0,Non-Hateful
0.0,1.0,0.0,Non-Hateful
0.0,4.0,0.0,Non-Hateful
0.0,4.0,0.0,Non-Hateful
1.0,4.0,0.0,Hateful
4.0,1.0,0.0,Non-Hateful
0.0,4.0,0.0,Non-Hateful
1.0,4.0,0.0,Non-Hateful
2.0,0.0,0.0,Non-Hateful
4.0,1.0,0.0,Non-Hateful
2.0,3.0,0.0,Non-Hateful
1.0,4.0,0.0,Non-Hateful
4.0,0.0,0.0,Non-Hateful
4.0,2.0,0.0,Non-Hateful
2.0,4.0,0.0,Non-Hateful
1.0,4.0,0.0,Hateful
4.0,0.0,0.0,Non-Hateful
3.0,0.0,0.0,Non-Hateful
0.0,1.0,0.0,Hateful
4.0,0.0,0.0,Non-Hateful
0.0,4.0,0.0,Non-Hateful
0.0,2.0,0.0,Non-Hateful
0.0,2.0,0.0,Non-Hateful
0.0,2.0,0.0,Non-Hateful
4.0,0.0,0.0,Hateful
0.0,4.0,0.0,Non-Hateful
0.0,4.0,0.0,Non-Hateful
0.0,4.0,0.0,Non-Hateful
1.0,2.0,0.0,Non-Hateful
4.0,1.0,0.0,Non-Hateful
1.0,0.0,0.0,Hateful
4.0,0.0,0.0,Non-Hateful
0.0,2.0,0.0,Non-Hateful
0.0,4.0,0.0,Non-Hateful
0.0,1.0,0.0,Non-Hateful
1.0,4.0,0.0,Non-Hateful
4.0,0.0,0.0,Hateful
4.0,1.0,0.0,Non-Hateful
2.0,2.0,0.0,Hateful
1.0,4.0,0.0,Non-Hateful
0.0,4.0,0.0,Non-Hateful
4.0,1.0,0.0,Non-Hateful
4.0,2.0,0.0,Non-Hateful
1.0,4.0,0.0,Non-Hateful
4.0,1.0,0.0,Non-Hateful
0.0,4.0,0.0,Non-Hateful
1.0,0.0,0.0,Non-Hateful
4.0,1.0,0.0,Non-Hateful
0.0,2.0,0.0,Non-Hateful
0.0,4.0,0.0,Non-Hateful
4.0,1.0,0.0,Non-Hateful
4.0,0.0,0.0,Non-Hateful
1.0,0.0,0.0,Non-Hateful
1.0,4.0,0.0,Hateful
0.0,2.0,0.0,Non-Hateful
1.0,4.0,0.0,Hateful
0.0,4.0,0.0,Non-Hateful
1.0,4.0,0.0,Non-Hateful
4.0,0.0,0.0,Non-Hateful
4.0,0.0,0.0,Non-Hateful
0.0,1.0,0.0,Non-Hateful
0.0,4.0,0.0,Non-Hateful
2.0,0.0,0.0,Non-Hateful
4.0,0.0,0.0,Non-Hateful
0.0,4.0,0.0,Non-Hateful
1.0,4.0,0.0,Non-Hateful
1.0,4.0,0.0,Non-Hateful
4.0,2.0,0.0,Non-Hateful
4.0,0.0,0.0,Non-Hateful
0.0,0.0,3.0,Non-Hateful
1.0,0.0,0.0,Non-Hateful
2.0,4.0,0.0,Non-Hateful
4.0,0.0,0.0,Non-Hateful
2.0,2.0,0.0,Hateful
0.0,4.0,0.0,Non-Hateful
1.0,4.0,0.0,Non-Hateful
1.0,4.0,0.0,Non-Hateful
2.0,0.0,0.0,Non-Hateful
2.0,0.0,0.0,Non-Hateful
1.0,4.0,0.0,Non-Hateful
0.0,4.0,0.0,Non-Hateful
0.0,1.0,0.0,Non-Hateful
0.0,2.0,0.0,Non-Hateful
0.0,4.0,0.0,Non-Hateful
0.0,4.0,0.0,Non-Hateful
1.0,0.0,0.0,Non-Hateful
1.0,4.0,0.0,Non-Hateful
2.0,0.0,0.0,Non-Hateful
4.0,0.0,0.0,Non-Hateful
1.0,4.0,0.0,Hateful
2.0,0.0,0.0,Non-Hateful
0.0,4.0,0.0,Non-Hateful
4.0,1.0,0.0,Hateful
4.0,0.0,0.0,Hateful
0.0,4.0,0.0,Non-Hateful
3.0,1.0,0.0,Non-Hateful
4.0,0.0,0.0,Non-Hateful
1.0,4.0,0.0,Non-Hateful
4.0,0.0,0.0,Non-Hateful
4.0,0.0,0.0,Non-Hateful
2.0,0.0,0.0,Non-Hateful
0.0,2.0,0.0,Non-Hateful
0.0,1.0,0.0,Non-Hateful
1.0,4.0,0.0,Non-Hateful
4.0,0.0,0.0,Non-Hateful
4.0,0.0,0.0,Non-Hateful
4.0,0.0,0.0,Non-Hateful
0.0,2.0,0.0,Non-Hateful
2.0,0.0,0.0,Non-Hateful
1.0,4.0,0.0,Hateful
4.0,0.0,0.0,Non-Hateful
4.0,0.0,0.0,Non-Hateful
1.0,0.0,0.0,Non-Hateful
4.0,0.0,0.0,Non-Hateful
1.0,0.0,0.0,Non-Hateful
1.0,0.0,0.0,Non-Hateful
2.0,0.0,0.0,Non-Hateful
4.0,1.0,0.0,Hateful
4.0,0.0,0.0,Non-Hateful
1.0,0.0,0.0,Non-Hateful
1.0,4.0,0.0,Non-Hateful
4.0,0.0,0.0,Non-Hateful
1.0,4.0,0.0,Non-Hateful
4.0,0.0,0.0,Non-Hateful
4.0,0.0,0.0,Non-Hateful
0.0,1.0,0.0,Non-Hateful
0.0,4.0,0.0,Non-Hateful
2.0,4.0,0.0,Non-Hateful
0.0,0.0,2.0,Non-Hateful
0.0,2.0,0.0,Non-Hateful
0.0,4.0,0.0,Non-Hateful
0.0,1.0,0.0,Non-Hateful
0.0,4.0,0.0,Hateful
0.0,2.0,0.0,Non-Hateful
2.0,0.0,0.0,Non-Hateful
1.0,4.0,0.0,Non-Hateful
0.0,3.0,0.0,Non-Hateful
0.0,4.0,0.0,Non-Hateful
1.0,4.0,0.0,Non-Hateful
1.0,4.0,0.0,Non-Hateful
1.0,0.0,0.0,Non-Hateful
0.0,4.0,0.0,Non-Hateful
0.0,4.0,0.0,Non-Hateful
1.0,4.0,0.0,Non-Hateful
0.0,4.0,0.0,Non-Hateful
1.0,4.0,0.0,Non-Hateful
4.0,0.0,0.0,Non-Hateful
4.0,1.0,0.0,Hateful
0.0,1.0,0.0,Non-Hateful
1.0,0.0,0.0,Non-Hateful
0.0,1.0,0.0,Non-Hateful
1.0,4.0,0.0,Non-Hateful
1.0,0.0,0.0,Non-Hateful
4.0,0.0,0.0,Non-Hateful
1.0,4.0,0.0,Non-Hateful
1.0,4.0,0.0,Non-Hateful
1.0,4.0,0.0,Non-Hateful
0.0,4.0,0.0,Non-Hateful
0.0,4.0,0.0,Non-Hateful
0.0,2.0,0.0,Non-Hateful
1.0,4.0,0.0,Non-Hateful
4.0,1.0,0.0,Hateful
2.0,0.0,0.0,Non-Hateful
2.0,4.0,0.0,Non-Hateful
1.0,4.0,0.0,Non-Hateful
4.0,1.0,0.0,Non-Hateful
0.0,2.0,0.0,Non-Hateful
0.0,4.0,0.0,Non-Hateful
2.0,2.0,0.0,Non-Hateful
1.0,0.0,0.0,Hateful
4.0,0.0,0.0,Non-Hateful
2.0,2.0,0.0,Non-Hateful
0.0,4.0,0.0,Non-Hateful
3.0,1.0,0.0,Hateful
1.0,0.0,0.0,Non-Hateful
1.0,4.0,0.0,Non-Hateful
2.0,2.0,0.0,Non-Hateful
2.0,0.0,0.0,Non-Hateful
3.0,4.0,0.0,Non-Hateful
1.0,0.0,0.0,Non-Hateful
1.0,4.0,0.0,Hateful
0.0,4.0,0.0,Non-Hateful
2.0,1.0,0.0,Non-Hateful
4.0,0.0,0.0,Hateful
2.0,4.0,0.0,Non-Hateful
4.0,0.0,0.0,Non-Hateful
1.0,4.0,0.0,Hateful
1.0,4.0,0.0,Non-Hateful
4.0,0.0,0.0,Non-Hateful
4.0,0.0,0.0,Non-Hateful
4.0,1.0,0.0,Non-Hateful
0.0,4.0,0.0,Non-Hateful
1.0,0.0,0.0,Non-Hateful
2.0,0.0,0.0,Non-Hateful
0.0,4.0,0.0,Non-Hateful
0.0,4.0,0.0,Non-Hateful
4.0,0.0,0.0,Non-Hateful
4.0,1.0,0.0,Hateful
0.0,4.0,0.0,Non-Hateful
4.0,1.0,0.0,Non-Hateful
4.0,0.0,0.0,Non-Hateful
4.0,1.0,0.0,Non-Hateful
0.0,4.0,0.0,Non-Hateful
0.0,4.0,0.0,Non-Hateful
1.0,0.0,0.0,Non-Hateful
0.0,4.0,0.0,Non-Hateful
0.0,4.0,0.0,Non-Hateful
